"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"ogółem";"2024";1534442809,85;"zł";"";
1201000;"Powiat bocheński";"ogółem";"2024";90198350,75;"zł";"";
1202000;"Powiat brzeski";"ogółem";"2024";59791935,67;"zł";"";
1203000;"Powiat chrzanowski";"ogółem";"2024";87020395,13;"zł";"";
1204000;"Powiat dąbrowski";"ogółem";"2024";31088876,29;"zł";"";
1205000;"Powiat gorlicki";"ogółem";"2024";85970498,91;"zł";"";
1206000;"Powiat krakowski";"ogółem";"2024";84011916,28;"zł";"";
1207000;"Powiat limanowski";"ogółem";"2024";102426153,07;"zł";"";
1208000;"Powiat miechowski";"ogółem";"2024";41392889,64;"zł";"";
1209000;"Powiat myślenicki";"ogółem";"2024";91163272,31;"zł";"";
1210000;"Powiat nowosądecki";"ogółem";"2024";72549252,33;"zł";"";
1211000;"Powiat nowotarski";"ogółem";"2024";131925781,58;"zł";"";
1212000;"Powiat olkuski";"ogółem";"2024";82473480,85;"zł";"";
1213000;"Powiat oświęcimski";"ogółem";"2024";146216234,38;"zł";"";
1214000;"Powiat proszowicki";"ogółem";"2024";29917688,22;"zł";"";
1215000;"Powiat suski";"ogółem";"2024";70688990,89;"zł";"";
1216000;"Powiat tarnowski";"ogółem";"2024";73678775,22;"zł";"";
1217000;"Powiat tatrzański";"ogółem";"2024";34549518,76;"zł";"";
1218000;"Powiat wadowicki";"ogółem";"2024";153030283,25;"zł";"";
1219000;"Powiat wielicki";"ogółem";"2024";66348516,32;"zł";"";
