"Kod";"Nazwa";"Prognoza na rok";"Płeć";"Wiek";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"prognoza na rok 2030";"ogółem";"ogółem";"2022";3432610;"osoba";"";
1201000;"Powiat bocheński";"prognoza na rok 2030";"ogółem";"ogółem";"2022";106294;"osoba";"";
1202000;"Powiat brzeski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";89843;"osoba";"";
1203000;"Powiat chrzanowski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";113518;"osoba";"";
1204000;"Powiat dąbrowski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";55748;"osoba";"";
1205000;"Powiat gorlicki";"prognoza na rok 2030";"ogółem";"ogółem";"2022";101437;"osoba";"";
1206000;"Powiat krakowski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";313278;"osoba";"";
1207000;"Powiat limanowski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";132573;"osoba";"";
1208000;"Powiat miechowski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";45250;"osoba";"";
1209000;"Powiat myślenicki";"prognoza na rok 2030";"ogółem";"ogółem";"2022";131729;"osoba";"";
1210000;"Powiat nowosądecki";"prognoza na rok 2030";"ogółem";"ogółem";"2022";215823;"osoba";"";
1211000;"Powiat nowotarski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";188228;"osoba";"";
1212000;"Powiat olkuski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";100337;"osoba";"";
1213000;"Powiat oświęcimski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";143752;"osoba";"";
1214000;"Powiat proszowicki";"prognoza na rok 2030";"ogółem";"ogółem";"2022";40781;"osoba";"";
1215000;"Powiat suski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";81915;"osoba";"";
1216000;"Powiat tarnowski";"prognoza na rok 2030";"ogółem";"ogółem";"2022";194036;"osoba";"";
1217000;"Powiat tatrzański";"prognoza na rok 2030";"ogółem";"ogółem";"2022";65773;"osoba";"";
1218000;"Powiat wadowicki";"prognoza na rok 2030";"ogółem";"ogółem";"2022";155589;"osoba";"";
1219000;"Powiat wielicki";"prognoza na rok 2030";"ogółem";"ogółem";"2022";152965;"osoba";"";
1261000;"Powiat m. Kraków";"prognoza na rok 2030";"ogółem";"ogółem";"2022";831474;"osoba";"";
1262000;"Powiat m. Nowy Sącz";"prognoza na rok 2030";"ogółem";"ogółem";"2022";77550;"osoba";"";
1263000;"Powiat m. Tarnów";"prognoza na rok 2030";"ogółem";"ogółem";"2022";94717;"osoba";"";
